START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
08/26/23,06:10 PM,07:10 PM,Athletics at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM- TUDN WRTO 1200",08/26/23,08/26/23,09:10 PM,10:10 PM,FALSE,TRUE,08/26/23,05:10 PM,06:10 PM,FREE,BUSY
08/27/23,01:10 PM,02:10 PM,Athletics at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM- TUDN WRTO 1200",08/27/23,08/27/23,04:10 PM,05:10 PM,FALSE,TRUE,08/27/23,12:10 PM,01:10 PM,FREE,BUSY
09/01/23,07:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/01/23,09/01/23,10:10 PM,11:10 PM,FALSE,TRUE,09/01/23,06:10 PM,07:10 PM,FREE,BUSY
09/02/23,06:10 PM,07:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/02/23,09/02/23,09:10 PM,10:10 PM,FALSE,TRUE,09/02/23,05:10 PM,06:10 PM,FREE,BUSY
09/03/23,01:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/03/23,09/03/23,04:10 PM,05:10 PM,FALSE,TRUE,09/03/23,12:10 PM,01:10 PM,FREE,BUSY
09/11/23,06:40 PM,07:40 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/11/23,09/11/23,09:40 PM,10:40 PM,FALSE,TRUE,09/11/23,05:40 PM,06:40 PM,FREE,BUSY
09/12/23,06:40 PM,07:40 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/12/23,09/12/23,09:40 PM,10:40 PM,FALSE,TRUE,09/12/23,05:40 PM,06:40 PM,FREE,BUSY
09/13/23,06:40 PM,07:40 PM,Royals at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/13/23,09/13/23,09:40 PM,10:40 PM,FALSE,TRUE,09/13/23,05:40 PM,06:40 PM,FREE,BUSY
09/14/23,06:10 PM,07:10 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",09/14/23,09/14/23,09:10 PM,10:10 PM,FALSE,TRUE,09/14/23,05:10 PM,06:10 PM,FREE,BUSY
09/15/23,06:40 PM,07:40 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",09/15/23,09/15/23,09:40 PM,10:40 PM,FALSE,TRUE,09/15/23,05:40 PM,06:40 PM,FREE,BUSY
09/16/23,06:10 PM,07:10 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",09/16/23,09/16/23,09:10 PM,10:10 PM,FALSE,TRUE,09/16/23,05:10 PM,06:10 PM,FREE,BUSY
09/17/23,01:10 PM,02:10 PM,Twins at White Sox,Guaranteed Rate Field - Chicago,"Local Radio: TUDN WRTO 1200",09/17/23,09/17/23,04:10 PM,05:10 PM,FALSE,TRUE,09/17/23,12:10 PM,01:10 PM,FREE,BUSY
09/25/23,06:40 PM,07:40 PM,D-backs at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/25/23,09/25/23,09:40 PM,10:40 PM,FALSE,TRUE,09/25/23,05:40 PM,06:40 PM,FREE,BUSY
09/26/23,06:40 PM,07:40 PM,D-backs at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/26/23,09/26/23,09:40 PM,10:40 PM,FALSE,TRUE,09/26/23,05:40 PM,06:40 PM,FREE,BUSY
09/27/23,01:10 PM,02:10 PM,D-backs at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM",09/27/23,09/27/23,04:10 PM,05:10 PM,FALSE,TRUE,09/27/23,12:10 PM,01:10 PM,FREE,BUSY
09/29/23,06:40 PM,07:40 PM,Padres at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM- TUDN WRTO 1200",09/29/23,09/29/23,09:40 PM,10:40 PM,FALSE,TRUE,09/29/23,05:40 PM,06:40 PM,FREE,BUSY
09/30/23,06:10 PM,07:10 PM,Padres at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM- TUDN WRTO 1200",09/30/23,09/30/23,09:10 PM,10:10 PM,FALSE,TRUE,09/30/23,05:10 PM,06:10 PM,FREE,BUSY
10/01/23,02:10 PM,03:10 PM,Padres at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WMVP 1000 AM- TUDN WRTO 1200",10/01/23,10/01/23,05:10 PM,06:10 PM,FALSE,TRUE,10/01/23,01:10 PM,02:10 PM,FREE,BUSY
